ID   Time    N0      N1        N2         D0       D1          C       L
84  |8.4 |529.451|291.927 |18.6227    |64.3837|6.207     |9.64063  |36.9702
85  |8.5 |533.051|297.706 |19.2428    |64.8216|6.32988   |9.76508  |37.2881
86  |8.6 |536.608|303.517 |19.8751    |65.2541|6.45342   |9.88968  |37.6037
87  |8.7 |540.122|309.358 |20.5197    |65.6815|6.57762   |10.0144  |37.917
88  |8.8 |543.594|315.229 |21.1768    |66.1036|6.70246   |10.1393  |38.2279
89  |8.9 |547.024|321.13  |21.8463    |66.5207|6.82792   |10.2644  |38.5367
90  |9   |550.412|327.06  |22.5284    |66.9327|6.954     |10.3895  |38.8431
91  |9.1 |553.759|333.018 |23.2231    |67.3398|7.08068   |10.5149  |39.1473
92  |9.2 |557.066|339.004 |23.9304    |67.7419|7.20796   |10.6403  |39.4493
93  |9.3 |560.333|345.017 |24.6504    |68.1391|7.33581   |10.7659  |39.7492
94  |9.4 |563.56 |351.057 |25.3832    |68.5316|7.46423   |10.8917  |40.0468
95  |9.5 |566.749|357.123 |26.1288    |68.9193|7.59321   |11.0175  |40.3423
96  |9.6 |569.898|363.214 |26.8874    |69.3024|7.72273   |11.1435  |40.6356
97  |9.7 |573.01 |369.331 |27.6588    |69.6808|7.85279   |11.2697  |40.9268
98  |9.8 |576.084|375.473 |28.4433    |70.0546|7.98337   |11.3959  |41.2159
99  |9.9 |579.121|381.638 |29.2407    |70.4239|8.11446   |11.5223  |41.5029
100 |10  |582.121|387.827 |30.0513    |70.7887|8.24605   |11.6488  |41.7879
101 |10.1|585.085|394.04  |30.8751    |71.1492|8.37814   |11.7755  |42.0708
102 |10.2|588.014|400.274 |31.712     |71.5053|8.51071   |11.9022  |42.3516
103 |10.3|590.906|406.531 |32.5622    |71.857 |8.64375   |12.0291  |42.6305
104 |10.4|593.764|412.81  |33.4256    |72.2046|8.77725   |12.1561  |42.9073
105 |10.5|596.587|419.11  |34.3024    |72.5479|8.9112    |12.2832  |43.1821
106 |10.6|599.377|425.431 |35.1926    |72.8871|9.04559   |12.4104  |43.455
107 |10.7|602.132|431.772 |36.0962    |73.2221|9.18041   |12.5378  |43.726
108 |10.8|604.854|438.133 |37.0132    |73.5531|9.31566   |12.6652  |43.995
109 |10.9|607.543|444.513 |37.9438    |73.8802|9.45131   |12.7928  |44.2621
110 |11  |610.2  |450.912 |38.8879    |74.2032|9.58737   |12.9204  |44.5273
111 |11.1|612.825|457.33  |39.8457    |74.5224|9.72383   |13.0482  |44.7906
112 |11.2|615.418|463.765 |40.817     |74.8377|9.86066   |13.1761  |45.052
113 |11.3|617.979|470.219 |41.802     |75.1492|9.99788   |13.304   |45.3116
114 |11.4|620.51 |476.69  |42.8008    |75.4569|10.1355   |13.4321  |45.5693
115 |11.5|623.01 |483.177 |43.8132    |75.761 |10.2734   |13.5603  |45.8252
116 |11.6|625.48 |489.681 |44.8395    |76.0613|10.4117   |13.6885  |46.0794
117 |11.7|627.919|496.201 |45.8795    |76.358 |10.5503   |13.8169  |46.3317
118 |11.8|630.33 |502.737 |46.9334    |76.6511|10.6893   |13.9454  |46.5822
119 |11.9|632.711|509.288 |48.0012    |76.9407|10.8286   |14.0739  |46.831
120 |12  |635.064|515.853 |49.0829    |77.2268|10.9682   |14.2025  |47.078
121 |12.1|637.388|522.434 |50.1786    |77.5094|11.1081   |14.3313  |47.3233
122 |12.2|639.684|529.028 |51.2882    |77.7886|11.2483   |14.4601  |47.5669
123 |12.3|641.952|535.636 |52.4119    |78.0644|11.3888   |14.589   |47.8088
124 |12.4|644.193|542.258 |53.5495    |78.3369|11.5296   |14.7179  |48.049
125 |12.5|646.407|548.892 |54.7013    |78.6061|11.6706   |14.847   |48.2875
126 |12.6|648.594|555.539 |55.8671    |78.8721|11.812    |14.9761  |48.5243
127 |12.7|650.754|562.199 |57.047     |79.1348|11.9536   |15.1053  |48.7595
128 |12.8|652.889|568.87  |58.2411    |79.3944|12.0954   |15.2346  |48.9931
129 |12.9|654.997|575.553 |59.4494    |79.6508|12.2375   |15.364   |49.225
130 |13  |657.08 |582.248 |60.6718    |79.9041|12.3799   |15.4934  |49.4554
131 |13.1|659.138|588.953 |61.9085    |80.1544|12.5224   |15.6229  |49.6841
132 |13.2|661.171|595.669 |63.1594    |80.4016|12.6652   |15.7525  |49.9113
133 |13.3|663.18 |602.395 |64.4246    |80.6459|12.8082   |15.8821  |50.1368
134 |13.4|665.164|609.132 |65.704     |80.8871|12.9515   |16.0118  |50.3609
135 |13.5|667.125|615.878 |66.9978    |81.1255|13.0949   |16.1415  |50.5834
136 |13.6|669.061|622.633 |68.3059    |81.361 |13.2385   |16.2714  |50.8043
137 |13.7|670.974|629.397 |69.6284    |81.5937|13.3824   |16.4012  |51.0238
138 |13.8|672.864|636.171 |70.9652    |81.8235|13.5264   |16.5312  |51.2417
139 |13.9|674.732|642.952 |72.3164    |82.0506|13.6706   |16.6611  |51.4582
140 |14  |676.576|649.742 |73.682     |82.2749|13.8149   |16.7912  |51.6731
141 |14.1|678.398|656.54  |75.062     |82.4965|13.9595   |16.9213  |51.8866
142 |14.2|680.199|663.345 |76.4565    |82.7154|14.1042   |17.0514  |52.0987
143 |14.3|681.977|670.157 |77.8654    |82.9317|14.249    |17.1816  |52.3093
144 |14.4|683.734|676.977 |79.2888    |83.1454|14.394    |17.3119  |52.5184
145 |14.5|685.47 |683.803 |80.7266    |83.3564|14.5391   |17.4421  |52.7262
